"id","experiment_id","sample_name_abbreviation","time_point","met_id","fragment_id","fragment_formula","intensity_normalized_average","intensity_normalized_cv","intensity_normalized_stdev","intensity_normalized_units","scan_type","met_elements","met_atompositions","used_","comment_"
5441,"ALEWt01","OxicEvo05Ecoli13CGlc","0","fdp_c","fdp_c_C6H8O7P_EPI","C6H8O7P-","{0.0589749443778748,0.500500985216498,0.161795823948089,0.111575185855464,0.102319527384684,0.0172608648892563,0.143084117545543}","{8.62549276927415,6.70398960045022,7.5245568008382,4.98682639731263,10.4257603103512,0,23.5487159473998}","{0.00508687956299704,0.0335535339990649,0.0121744186743581,0.00556406082109091,0.0106675886758113,0,0.0336944724066436}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5442,"ALEWt01","OxicEvo05Ecoli13CGlc","0","g6p_c","g6p_c_C2H4O5P_EPI","C2H4O5P-","{0.606793020853691,0.206857354899613,0.186349624246695}","{6.93663491177189,27.9391655364877,18.3335864501333}","{0.0420910165267324,0.0577942188098027,0.0341645694607664}","normSum","EPI","{C,C}","{4,5}",True,NULL
5443,"ALEWt01","OxicEvo05Ecoli13CGlc","0","g6p_c","g6p_c_C4H8O7P_EPI","C4H8O7P-","{0.707176668557528,0.247629094892927,0.104692893011506,0.0872091658262467,0.157562146575136}","{15.4985055257466,69.6880822086262,0.858063200856203,40.8009455949387,38.1909216222789}","{0.109601815053179,0.17256796722146,0.000898331188843489,0.0355821643025668,0.0601744359048904}","normSum","EPI","{C,C,C,C}","{2,3,4,5}",True,NULL
5444,"ALEWt01","OxicEvo05Ecoli13CGlc","0","g6p_c","g6p_c_C6H12O9P_EPI","C6H12O9P-","{0.0298732116770705,0.621106680553598,0.0734322468101557,0.0644819151871064,0.046023072409458,0.0199051931874945,0.162395256589655}","{19.2465718440836,9.19293855629353,28.4220907846099,29.1956477061756,23.5171835708807,20.3631811388563,5.73008569642085}","{0.00574956914756255,0.0570979555123266,0.0208709798535613,0.0188259127922225,0.0108233304234916,0.00405333054480879,0.00930538736950976}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5445,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glu_DASH_L_c","glu_DASH_L_c_C3H6NO2_EPI","C3H6NO2-","{0.849392539853585,0.150607460146415,0,0}","{7.83253379960674,44.1737465798128,0,0}","{0.0665289577753702,0.0665289577753699,0,0}","normSum","EPI","{C,C,C}","{0,1,2}",True,NULL
5446,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glu_DASH_L_c","glu_DASH_L_c_C4H8NO2_EPI","C4H8NO2-","{0.115630508996552,0.327875273037662,0.337872382455125,0.155611512274517,0.0630103232361436}","{5.57405706031848,2.89691838357685,4.41013435130379,8.30924922236013,9.81922343052432}","{0.0064453105506045,0.00949827905983082,0.014900626002222,0.0129301483735731,0.00618712442285252}","normSum","EPI","{C,C,C,C}","{0,1,2,3}",True,NULL
5447,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glu_DASH_L_c","glu_DASH_L_c_C5H6NO3_EPI","C5H6NO3-","{0.143897946253812,0.269656952346307,0.28920812740014,0.192683048289129,0.0795446790267912,0.0250092466838204}","{8.96790883386364,4.27511784656306,3.22432155442349,4.49056692803471,19.2561309639375,15.5948839671577}","{0.012904636633844,0.011528152494255,0.00932499998890726,0.00865256124240078,0.0153172275682426,0.00390016300140203}","normSum","EPI","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5448,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glu_DASH_L_c","glu_DASH_L_c_C5H8NO4_EPI","C5H8NO4-","{0.148991816671225,0.274790953935032,0.291060952378727,0.197322683733623,0.0708967623388944,0.016936830942499}","{7.43869810883655,3.56732791838631,4.02706360414201,1.47070974207592,13.3246459317143,38.7485236408917}","{0.0110830514490436,0.00980269441692446,0.0117212096791128,0.00290204393299605,0.00944674255870665,0.00656277194177208}","normSum","EPI","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5449,"ALEWt01","OxicEvo05Ecoli13CGlc","0","icit_c","icit_c_C3HO3_EPI","C3HO3-","{0.0804524825009324,0.176080097577198,0.340585629707835,0.402881790214035}","{14.0741692690432,11.3027569785226,8.26907772603676,4.53554721826573}","{0.0113230185683286,0.0199019055166962,0.0281632904442526,0.0182728938289518}","normSum","EPI","{C,C,C}","{0,1,2}",True,NULL
5450,"ALEWt01","OxicEvo05Ecoli13CGlc","0","icit_c","icit_c_C5H3O3_EPI","C5H3O3-","{0.128108284960426,0.2516173568802,0.277724989460138,0.215234055478179,0.101244776019653,0.026070537201404}","{2.27166330437447,5.86868551909353,1.51205767345499,5.71700157918059,6.3641755430988,14.3901184983087}","{0.00291018889930948,0.0147666313867542,0.00419936201423408,0.0123049343506219,0.00644339527410791,0.00375158119642769}","normSum","EPI","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5451,"ALEWt01","OxicEvo05Ecoli13CGlc","0","icit_c","icit_c_C6H5O6_EPI","C6H5O6-","{0.134097099308111,0.259769992286971,0.246764274535973,0.202289709229122,0.107897028942943,0.0407904222020452,0.00839147349483418}","{2.50932192806284,4.54830162059104,2.62142606034121,1.41102949581447,5.06288576100788,3.71207131525305,0.294647353937817}","{0.00336492791783463,0.0118151227689975,0.00646874300029792,0.00285436746422024,0.00546270331490281,0.00151416956193273,2.47252546089222e-005}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
