"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"chemical_shift"	"multiplicity"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"ICR mice_1_4w"	"ICR mice_1_9w"	"ICR mice_1_15w"	"ICR mice_2_4w"	"ICR mice_2_9w"	"ICR mice_2_15w"	"ICR mice_3_4w"	"ICR mice_3_9w"	"ICR mice_3_15w"	"ICR mice_4_4w"	"ICR mice_4_9w"	"ICR mice_4_15w"	"ICR mice_5_4w"	"ICR mice_5_9w"	"ICR mice_5_15w"	"ICR mice_6_4w"	"ICR mice_6_9w"	"ICR mice_6_15w"	"SAMP1 mice_1_4w"	"SAMP1 mice_1_9w"	"SAMP1 mice_1_15w"	"SAMP1 mice_2_4w"	"SAMP1 mice_2_9w"	"SAMP1 mice_2_15w"	"SAMP1 mice_3_4w"	"SAMP1 mice_3_9w"	"SAMP1 mice_3_15w"	"SAMP1 mice_4_4w"	"SAMP1 mice_4_9w"	"SAMP1 mice_4_15w"	"SAMP1 mice_5_4w"	"SAMP1 mice_5_9w"	"SAMP1 mice_5_15w"	"SAMP1 mice_6_4w"	"SAMP1 mice_6_9w"	"SAMP1 mice_6_15w"	"SAMP1 mice_7_4w"	"SAMP1 mice_7_9w"	"SAMP1 mice_7_15w"	"SAMP1 mice_8_4w"	"SAMP1 mice_8_9w"	"SAMP1 mice_8_15w"
"CHEBI:24898"	"C6H13NO2"	""	""	"isoleucine"	"0.93(t),1.00(d),1.25(m),1.46(m),1.97(m),3.66(d)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:15428"	"C2H5NO2"	"NCC(O)=O"	"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)"	"glycine"	"3.55(s)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:27266"	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)"	"valine"	"0.98(d),1.03(d),2.26(m),3.60(d)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:22660"	"C4H7NO4"	"NC(CC(O)=O)C(O)=O"	"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)"	"aspartate"	"2.66(dd),2.80(dd),3.89(dd)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:18237"	"C5H9NO4"	"NC(CCC(O)=O)C(O)=O"	"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)"	"glutamate"	"2.03(m),2.12(m),2.33(m),2.36(m),3.74(dd)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:15891"	"C2H7NO3S"	"C(CS(O)(=O)=O)N"	"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)"	"taurine"	"3.24(t),3.41(t)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0.0671"	"0.131"	"0.1483"	"0.0783"	"0.0809"	"0.0591"	"0.0659"	"0.1053"	"0.1666"	"0.0449"	"0.0736"	"0.0985"	"0.073"	"0.0408"	"0.0574"	"0.0649"	"0.083"	"0.1414"	"0.0565"	"0.0617"	"0.1036"	"0.1592"	"0.2291"	"0.2254"	"0.1162"	"0.1054"	"0.1504"	"0.0649"	"0.0816"	"0.1252"	"0.2207"	"0.0832"	"0.2248"	"0.0745"	"0.1912"	"0.166"	"0.0919"	"0.0794"	"0.1781"	"0.0927"	"0.1717"	"0.2502"
"CHEBI:15724"	"C3H9NO"	"C[N+](C)([O-])C"	"InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3"	"trimethylamine N-oxide"	"3.25(s)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:15354"	"C5H14NO+"	"C[N+](C)(C)CCO"	"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1"	"choline"	"3.19(s),3.51(m),4.06(m)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0.0099"	"0.0089"	"0.0062"	"0.0226"	"0.0093"	"0.0052"	"0.0186"	"0.0075"	"0.0092"	"0.0215"	"0.0064"	"0.0044"	"0.01"	"0.0071"	"0.0107"	"0.0133"	"0.008"	"0.0074"	"0.0066"	"0.005"	"0.0058"	"0.0087"	"0.0089"	"0.0092"	"0.0096"	"0.0084"	"0.0068"	"0.0084"	"0.0061"	"0.0067"	"0.0083"	"0.0061"	"0.0069"	"0.0091"	"0.0048"	"0.0057"	"0.0052"	"0.0045"	"0.0088"	"0.0037"	"0.0083"	"0.0078"
"CHEBI:18139"	"C3H9N"	"CN(C)C"	"InChI=1S/C3H9N/c1-4(2)3/h1-3H3"	"trimethylamine"	"2.87(s) "	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:17170"	"C2H7N"	"[H]N(C)C"	"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3"	"dimethylamine"	"2.71(s)"	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"CHEBI:15741"	"C4H6O4"	"OC(=O)CCC(O)=O"	"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)"	"succinate"	"2.39(s) "	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
