"id","model_id","met_name","met_id","formula","charge","compartment","bound","constraint_sense","used_","comment_","lower_bound","upper_bound","balanced","fixed"
58,"140407_iDM2014","Adenosylcobalamin","adocbl_c","C72H100CoN18O17P",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
59,"140407_iDM2014","lipoate (protein bound)","lipopb_c","C8H13OS2",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
60,"140407_iDM2014","molybdopterin cytosine dinucleotide","mococdp_c","C19H22MoN8O15P2S2",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
61,"140407_iDM2014","cardiolipin (tetrahexadec-9-enoyl, n-C16:1)","clpn161_p","C73H132O17P2",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
62,"140407_iDM2014","L-Lysine","lys_DASH_L_c","C6H15N2O2",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
63,"140407_iDM2014","5,10-Methylenetetrahydrofolate","mlthf_c","C20H21N7O6",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
64,"140407_iDM2014","L-Arginine","arg_DASH_L_c","C6H15N4O2",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
65,"140407_iDM2014","L-Alanine","ala_DASH_L_c","C3H7NO2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
66,"140407_iDM2014","Nicotinamide adenine dinucleotide","nad_c","C21H26N7O14P2",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
67,"140407_iDM2014","L-Methionine","met_DASH_L_c","C5H11NO2S",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
68,"140407_iDM2014","L-Leucine","leu_DASH_L_c","C6H13NO2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
69,"140407_iDM2014","Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)","pg181_p","C42H78O10P",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
70,"140407_iDM2014","H+","h_c","H",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
71,"140407_iDM2014","cardiolipin (tetraoctadec-11-enoyl, n-C18:1)","clpn181_p","C81H148O17P2",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
72,"140407_iDM2014","Glycine","gly_c","C2H5NO2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
73,"140407_iDM2014","ATP","atp_c","C10H12N5O13P3",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
74,"140407_iDM2014","GTP","gtp_c","C10H12N5O14P3",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
75,"140407_iDM2014","Mn2+","mn2_c","Mn",2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
76,"140407_iDM2014","L-Aspartate","asp_DASH_L_c","C4H6NO4",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
77,"140407_iDM2014","Siroheme","sheme_c","C42H36FeN4O16",-8,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
78,"140407_iDM2014","10-Formyltetrahydrofolate","10fthf_c","C20H21N7O7",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
79,"140407_iDM2014","two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)","murein3p3p_p","C68H104N12O38",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
80,"140407_iDM2014","[4Fe-4S] iron-sulfur cluster","4fe4s_c","Fe4S4",2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
81,"140407_iDM2014","2-Demethylmenaquinol 8","2dmmql8_c","C50H72O2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
82,"140407_iDM2014","Menaquinol 8","mql8_c","C51H74O2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
83,"140407_iDM2014","Spermidine","spmd_c","C7H22N3",3,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
84,"140407_iDM2014","L-Asparagine","asn_DASH_L_c","C4H8N2O3",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
85,"140407_iDM2014","two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)","murein3px4p_p","C71H107N13O38",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
