"id","experiment_id","sample_name_abbreviation","met_id","met_name","isotopomer_formula","met_elements","met_atompositions","ratio","supplier","supplier_reference","purity","comment_"
39,"WTEColi_optTrDesign","2-13C80_U-13C20","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
40,"WTEColi_optTrDesign","3-13C80_U-13C20","glc_DASH_D_e","3-13C_D-Glucose","{CHO,CH2O,[13C]H2O,CH2O,CH2O,CH3O}","{C}","{3}","0.8",NULL,NULL,"0.99",NULL
41,"WTEColi_optTrDesign","3-13C80_U-13C20","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
42,"WTEColi_optTrDesign","4-13C80_U-13C20","glc_DASH_D_e","4-13C_D-Glucose","{CHO,CH2O,CH2O,[13C]H2O,CH2O,CH3O}","{C}","{4}","0.8",NULL,NULL,"0.99",NULL
43,"WTEColi_optTrDesign","4-13C80_U-13C20","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
44,"WTEColi_optTrDesign","5-13C80_U-13C20","glc_DASH_D_e","5-13C_D-Glucose","{CHO,CH2O,CH2O,CH2O,[13C]H2O,CH3O}","{C}","{5}","0.8",NULL,NULL,"0.99",NULL
45,"WTEColi_optTrDesign","5-13C80_U-13C20","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
46,"WTEColi_optTrDesign","6-13C80_U-13C20","glc_DASH_D_e","6-13C_D-Glucose","{CHO,CH2O,CH2O,CH2O,CH2O,[13C]H3O}","{C}","{6}","0.8",NULL,NULL,"0.99",NULL
47,"WTEColi_optTrDesign","6-13C80_U-13C20","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
48,"WTEColi_optTrDesign","1-13C40_5-13C40_U-13C20","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.4",NULL,NULL,"0.99",NULL
49,"WTEColi_optTrDesign","1-13C40_5-13C40_U-13C20","glc_DASH_D_e","5-13C_D-Glucose","{CHO,CH2O,CH2O,CH2O,[13C]H2O,CH3O}","{C}","{5}","0.4",NULL,NULL,"0.99",NULL
50,"WTEColi_optTrDesign","1-13C40_5-13C40_U-13C20","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
51,"WTEColi_optTrDesign","2-3-13C80_U-13C20","glc_DASH_D_e","2-3-13C_D-Glucose","{CHO,[13C]H2O,[13C]H2O,CH2O,CH2O,CH3O}","{C,C}","{2,3}","0.8",NULL,NULL,"0.99",NULL
52,"WTEColi_optTrDesign","2-3-13C80_U-13C20","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
53,"WTEColi_optTrDesign","1-2-13C80_U-13C20","glc_DASH_D_e","1-2-13C_D-Glucose","{[13C]HO,[13C]H2O,CH2O,CH2O,CH2O,CH3O}","{C,C}","{1,2}","0.8",NULL,NULL,"0.99",NULL
54,"WTEColi_optTrDesign","1-2-13C80_U-13C20","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
55,"WTEColi_optTrDesign","2-13C40_5-13C40_U-13C20","glc_DASH_D_e","2-13C_D-Glucose","{CHO,[13C]H2O,CH2O,CH2O,CH2O,CH3O}","{C}","{2}","1",NULL,NULL,"0.99",NULL
56,"WTEColi_optTrDesign","2-13C40_5-13C40_U-13C20","glc_DASH_D_e","5-13C_D-Glucose","{CHO,CH2O,CH2O,CH2O,[13C]H2O,CH3O}","{C}","{5}","0.4",NULL,NULL,"0.99",NULL
