"q1_mass","q3_mass","ms3_mass","met_name","dp","ep","ce","cxp","af","quantifier","ms_mode","ion_intensity_rank","ion_abundance","precursor_formula","product_ion_reference","product_formula","production_ion_notes","met_id","external_reference","q1_mass_units","q3_mass_units","ms3_mass_units","threshold_units","dp_units","ep_units","ce_units","cxp_units","af_units","ms_group","threshold","dwell_weight","component_name","ms_include","ms_is","precursor_fragment","product_fragment","precursor_exactmass","product_exactmass","ms_methodtype","id","precursor_fragment_elements","product_fragment_elements"
"199","97",NULL,"D-Erythrose 4-phosphate","-40.1","-10","-14.34","-8.12",NULL,NULL,"-",NULL,"120000","C4H8O7P-",NULL,"H2O4P-",NULL,"e4p",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","e4p","5000","1",NULL,False,False,"{t,t,t,t}","{f,f,f,f}","199.0007641",NULL,"tuning",66,"{C,C,C,C}","{C,C,C,C}"
"117","100",NULL,"3-hydroxy-3-methylbutanoic acid","-93.9","-10","-30.8","-9",NULL,NULL,"-",2,"200000","C5H9O3-",NULL,"C5H8O2-",NULL,"3h3mb","HMDB00754","Da","Da","Da","count","volts","volts","volts","volts","volts","3h3mb","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",67,NULL,NULL
"117","41",NULL,"3-hydroxy-3-methylbutanoic acid","-30","-10","-38","-5.4",NULL,NULL,"-",3,"200000","C5H9O3-",NULL,"C2HO-","Could also be C3H5-","3h3mb","HMDB00754","Da","Da","Da","count","volts","volts","volts","volts","volts","3h3mb","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",68,NULL,NULL
"133","115",NULL,"(R)-2-Ethylmalate","173","10","19","12",NULL,NULL,"+",2,NULL,NULL,NULL,NULL,NULL,"G_R2emal",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","G_R2emal","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",69,NULL,NULL
"117","100",NULL,"(R)-3-Hydroxypentanoic acid","-106.3","-10","-30.9","-9.1",NULL,NULL,"-",2,"240000","C5H9O3-",NULL,"C5H8O2-",NULL,"R-3hpt",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","R-3hpt","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",12,NULL,NULL
"102.9","59",NULL,"(R)-3-Hydroxybutanoate","-40","-4","-12","-9",NULL,NULL,"-",1,NULL,NULL,NULL,NULL,NULL,"bhb",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","bhb","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",70,NULL,NULL
"119","96",NULL,"5,6-dihydrouracil","-194","-7","-28","-11",NULL,NULL,"-",1,NULL,NULL,NULL,NULL,NULL,"56dura",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","56dura","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",71,NULL,NULL
"258.944","110",NULL,"5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide","40","10","27","16",NULL,NULL,"+",2,NULL,NULL,NULL,NULL,NULL,"aicar",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","aicar","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",72,NULL,NULL
"259","169",NULL,"Hexose-phosphate-pool_g6p_man6p_f6p_f1p","-52.1","-10","-16.1","-10.4",NULL,NULL,"-",NULL,NULL,"C6H12O9P-",NULL,"C3H6O6P-",NULL,"Hexose-phosphate-pool_g6p_man6p_f6p_f1p",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","Hexose-phosphate-pool_g6p_man6p_f6p_f1p","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",73,NULL,NULL
"105","64",NULL,"3-Hydroxy-2-methylpropanoate","10","10","15","8",NULL,NULL,"+",1,NULL,"C4H9O3+",NULL,NULL,NULL,"3hmp",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","3hmp","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",74,NULL,NULL
