"q1_mass","q3_mass","ms3_mass","met_name","dp","ep","ce","cxp","af","quantifier","ms_mode","ion_intensity_rank","ion_abundance","precursor_formula","product_ion_reference","product_formula","production_ion_notes","met_id","external_reference","q1_mass_units","q3_mass_units","ms3_mass_units","threshold_units","dp_units","ep_units","ce_units","cxp_units","af_units","ms_group","threshold","dwell_weight","component_name","ms_include","ms_is","precursor_fragment","product_fragment","precursor_exactmass","product_exactmass","ms_methodtype","id","precursor_fragment_elements","product_fragment_elements"
"227.0376823085","91.0183897184",NULL,"chorismate-C6[13C]4H7O6_C6H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C6H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m4-0","5000","1","chor.chor_m4-0",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","91.0183897184","isotopomer_13C",1369,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"169.993554273","96.9690700626",NULL,"Glyceraldehyde 3-phosphate-C2[13C]H6O6P_H2O4P","-36","-11","-15","-5.8",NULL,NULL,"-",NULL,NULL,"C2[13C]H6O6P-","Beuscher 2010","H2O4P-",NULL,"g3p",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","g3p.g3p_m1-0","5000","1","g3p.g3p_m1-0",False,True,"{t,t,t}","{f,f,f}","169.993554273","96.9690700626","isotopomer_13C",1445,"{C,C,C}","{C,C,C}"
"227.0376823085","93.025099394",NULL,"chorismate-C6[13C]4H7O6_C4[13C]2H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C4[13C]2H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m4-2","5000","1","chor.chor_m4-2",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","93.025099394","isotopomer_13C",1370,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"227.0376823085","94.0284542318",NULL,"chorismate-C6[13C]4H7O6_C3[13C]3H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C3[13C]3H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m4-3","5000","1","chor.chor_m4-3",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","94.0284542318","isotopomer_13C",1371,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"227.0376823085","95.0318090696",NULL,"chorismate-C6[13C]4H7O6_C2[13C]4H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C2[13C]4H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m4-4","5000","1","chor.chor_m4-4",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","95.0318090696","isotopomer_13C",1372,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"227.0376823085","166.0495836044",NULL,"chorismate-C6[13C]4H7O6_C6[13C]3H7O3","-39.8","-10","-12.03","-10.9",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C6[13C]3H7O3-","loss of CO2 and OH","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m4-3","5000","1","chor.chor_m4-3",True,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,t,t,t}","225.0399130215","166.0495836044","isotopomer_13C",1373,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"227.0376823085","167.0529384422",NULL,"chorismate-C6[13C]4H7O6_C5[13C]4H7O3","-39.8","-10","-12.03","-10.9",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C5[13C]4H7O3-","loss of CO2 and OH","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m4-4","5000","1","chor.chor_m4-4",True,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,t,t,t}","225.0399130215","167.0529384422","isotopomer_13C",1374,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"229.0443919841","93.025099394",NULL,"chorismate-C4[13C]6H7O6_C4[13C]2H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C4[13C]2H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m6-2","5000","1","chor.chor_m6-2",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","93.025099394","isotopomer_13C",1375,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"229.0443919841","94.0284542318",NULL,"chorismate-C4[13C]6H7O6_C3[13C]3H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C3[13C]3H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m6-3","5000","1","chor.chor_m6-3",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","94.0284542318","isotopomer_13C",1376,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"229.0443919841","95.0318090696",NULL,"chorismate-C4[13C]6H7O6_C2[13C]4H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C2[13C]4H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m6-4","5000","1","chor.chor_m6-4",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","95.0318090696","isotopomer_13C",1377,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"229.0443919841","97.0385187452",NULL,"chorismate-C4[13C]6H7O6_[13C]6H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"[13C]6H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m6-6","5000","1","chor.chor_m6-6",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","97.0385187452","isotopomer_13C",1379,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"229.0443919841","168.05629328",NULL,"chorismate-C4[13C]6H7O6_C4[13C]5H7O3","-39.8","-10","-12.03","-10.9",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C4[13C]5H7O3-","loss of CO2 and OH","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m6-5","5000","1","chor.chor_m6-5",True,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,t,t,t}","225.0399130215","168.05629328","isotopomer_13C",1380,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"0","0",NULL,"Malonate","0","0","0","0",NULL,NULL,"-",NULL,NULL,NULL,NULL,NULL,NULL,"malon",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","malon","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",28,NULL,NULL
"231.0511016597","95.0318090696",NULL,"chorismate-C2[13C]8H7O6_C2[13C]4H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C2[13C]4H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m8-4","5000","1","chor.chor_m8-4",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","95.0318090696","isotopomer_13C",1381,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"231.0511016597","96.0351639074",NULL,"chorismate-C2[13C]8H7O6_C[13C]5H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C[13C]5H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m8-5","5000","1","chor.chor_m8-5",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","96.0351639074","isotopomer_13C",1382,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"231.0511016597","97.0385187452",NULL,"chorismate-C2[13C]8H7O6_[13C]6H3O","-42.08","-10","-19.96","-11.3",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"[13C]6H3O-","hydroxy-phenol","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m8-6","5000","1","chor.chor_m8-6",False,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,f,f,f}","225.0399130215","97.0385187452","isotopomer_13C",1383,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"231.0511016597","171.0663577934",NULL,"chorismate-C2[13C]8H7O6_C[13C]8H7O3","-39.8","-10","-12.03","-10.9",NULL,NULL,"-",NULL,NULL,"C10H9O6-",NULL,"C[13C]8H7O3-","loss of CO2 and OH","chor",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","chor.chor_m8-8","5000","1","chor.chor_m8-8",True,False,"{t,t,t,t,t,t,t,t,t,t}","{f,t,t,t,t,t,t,t,t,t}","225.0399130215","171.0663577934","isotopomer_13C",1384,"{C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C}"
"565","79",NULL,"UDPglucose","-30","-10","-120","-12.09",NULL,NULL,"-",2,"1200000","C15H23N2O17P2-",NULL,"O3P-","pi","udpg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts",NULL,"5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","565.0471953444",NULL,"tuning",1385,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}"
"565","97",NULL,"UDPglucose","-30","-10","-54.55","-9.02",NULL,NULL,"-",3,"280000","C15H23N2O17P2-",NULL,"H2O4P-","pi","udpg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts",NULL,"5000","1",NULL,False,False,"{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","565.0471953444",NULL,"tuning",1386,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}"
"565","241",NULL,"UDPglucose","-30","-10","-42.73","-12.3",NULL,1,"-",4,"180000","C15H23N2O17P2-",NULL,"C6H10O8P-","glucose-1-phosphate; or C9H9N2O6- (uridine and loss of h3)","udpg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts",NULL,"5000","1",NULL,True,True,"{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,f,f,f,f,f,f,f,t,t,t,t,t}","565.0471953444",NULL,"tuning",1387,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}"
"72.9925688984","44.9976542763",NULL,"Glyoxylate-C2HO3_CHO2","-140","-10","-12","-7",NULL,NULL,"-",NULL,NULL,"C2HO3-","Beuscher 2010","CHO2-",NULL,"glx",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glx.glx_m0-0","5000","1","glx.glx_m0-0",False,True,"{t,t}","{t,f}","72.9925688984","44.9976542763","isotopomer_13C",1389,"{C,C}","{C,C}"
"73.9959237362","44.9976542763",NULL,"Glyoxylate-C[13C]HO3_CHO2","-140","-10","-12","-7",NULL,NULL,"-",NULL,NULL,"C[13C]HO3-","Beuscher 2010","CHO2-",NULL,"glx",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glx.glx_m1-0","5000","1","glx.glx_m1-0",False,True,"{t,t}","{t,f}","73.9959237362","44.9976542763","isotopomer_13C",1390,"{C,C}","{C,C}"
"73.9959237362","46.0010091141",NULL,"Glyoxylate-C[13C]HO3_[13C]HO2","-140","-10","-12","-7",NULL,NULL,"-",NULL,NULL,"C[13C]HO3-","Beuscher 2010","[13C]HO2-",NULL,"glx",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glx.glx_m1-1","5000","1","glx.glx_m1-1",False,True,"{t,t}","{t,f}","73.9959237362","46.0010091141","isotopomer_13C",1391,"{C,C}","{C,C}"
"74.999278574","46.0010091141",NULL,"Glyoxylate-[13C]2HO3_[13C]HO2","-140","-10","-12","-7",NULL,NULL,"-",NULL,NULL,"[13C]2HO3-","Beuscher 2010","[13C]HO2-",NULL,"glx",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glx.glx_m2-1","5000","1","glx.glx_m2-1",False,True,"{t,t}","{t,f}","74.999278574","46.0010091141","isotopomer_13C",1392,"{C,C}","{C,C}"
"571.0583839826","78.9585053763",NULL,"UDPglucose-C7[13C]8H21N2O17P2_O3P","-30","-10","-120","-12.09",NULL,NULL,"-",NULL,NULL,"C15H23N2O17P2-",NULL,"O3P-","pi","udpg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","udpg.udpg_m8-0","5000","1","udpg.udpg_m8-0",False,False,"{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","565.0471953444","78.9585053763","isotopomer_13C",1393,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}"
"572.0617388204","78.9585053763",NULL,"UDPglucose-C6[13C]9H21N2O17P2_O3P","-30","-10","-120","-12.09",NULL,NULL,"-",NULL,NULL,"C15H23N2O17P2-",NULL,"O3P-","pi","udpg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","udpg.udpg_m9-0","5000","1","udpg.udpg_m9-0",False,False,"{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","565.0471953444","78.9585053763","isotopomer_13C",1394,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}"
"573.0650936582","78.9585053763",NULL,"UDPglucose-C5[13C]10H21N2O17P2_O3P","-30","-10","-120","-12.09",NULL,NULL,"-",NULL,NULL,"C15H23N2O17P2-",NULL,"O3P-","pi","udpg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","udpg.udpg_m10-0","5000","1","udpg.udpg_m10-0",False,False,"{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","565.0471953444","78.9585053763","isotopomer_13C",1395,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}"
"163","82",NULL,"5-Hydroxy-L-lysine","41.56","10","21.2","10",NULL,NULL,"+",NULL,"370000",NULL,NULL,NULL,NULL,"5hlys",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",29,NULL,NULL
"163","55",NULL,"5-Hydroxy-L-lysine","35.8","10","33.7","8.68",NULL,NULL,"+",NULL,"150000",NULL,NULL,NULL,NULL,"5hlys",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",30,NULL,NULL
"203.0820526077","116.0500241978",NULL,"L-Tryptophan-C11H11N2O2_C8H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C11H11N2O2-","Beuscher 2010","C8H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m0-0","5000","1","trp-L.trp-L_m0-0",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","203.0820526077","116.0500241978","isotopomer_13C",1396,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"232.0213933212","96.9690700626",NULL,"alpha-D-Ribose 5-phosphate-C2[13C]3H10O8P_H2O4P","-53.1","-10","-18.9","-5.3",NULL,NULL,"-",NULL,NULL,"C2[13C]3H10O8P-","Luo 2007","H2O4P-","Phosphate","r5p",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","r5p.r5p_m3-0","5000","1","r5p.r5p_m3-0",False,True,"{t,t,t,t,t}","{f,f,f,f,f}","232.0213933212","96.9690700626","isotopomer_13C",1457,"{C,C,C,C,C}","{C,C,C,C,C}"
"204.0854074455","116.0500241978",NULL,"L-Tryptophan-C10[13C]H11N2O2_C8H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C10[13C]H11N2O2-","Beuscher 2010","C8H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m1-0","5000","1","trp-L.trp-L_m1-0",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","204.0854074455","116.0500241978","isotopomer_13C",1397,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"170.9969091108","96.9690700626",NULL,"Glyceraldehyde 3-phosphate-C[13C]2H6O6P_H2O4P","-36","-11","-15","-5.8",NULL,NULL,"-",NULL,NULL,"C[13C]2H6O6P-","Beuscher 2010","H2O4P-",NULL,"g3p",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","g3p.g3p_m2-0","5000","1","g3p.g3p_m2-0",False,True,"{t,t,t}","{f,f,f}","170.9969091108","96.9690700626","isotopomer_13C",1446,"{C,C,C}","{C,C,C}"
"204.0854074455","117.0533790356",NULL,"L-Tryptophan-C10[13C]H11N2O2_C7[13C]H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C10[13C]H11N2O2-","Beuscher 2010","C7[13C]H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m1-1","5000","1","trp-L.trp-L_m1-1",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","204.0854074455","117.0533790356","isotopomer_13C",1398,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"205.0887622833","117.0533790356",NULL,"L-Tryptophan-C9[13C]2H11N2O2_C7[13C]H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C9[13C]2H11N2O2-","Beuscher 2010","C7[13C]H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m2-1","5000","1","trp-L.trp-L_m2-1",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","205.0887622833","117.0533790356","isotopomer_13C",1400,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"205.0887622833","118.0567338734",NULL,"L-Tryptophan-C9[13C]2H11N2O2_C6[13C]2H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C9[13C]2H11N2O2-","Beuscher 2010","C6[13C]2H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m2-2","5000","1","trp-L.trp-L_m2-2",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","205.0887622833","118.0567338734","isotopomer_13C",1401,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"206.0921171211","116.0500241978",NULL,"L-Tryptophan-C8[13C]3H11N2O2_C8H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C8[13C]3H11N2O2-","Beuscher 2010","C8H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m3-0","5000","1","trp-L.trp-L_m3-0",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","206.0921171211","116.0500241978","isotopomer_13C",1402,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"206.0921171211","117.0533790356",NULL,"L-Tryptophan-C8[13C]3H11N2O2_C7[13C]H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C8[13C]3H11N2O2-","Beuscher 2010","C7[13C]H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m3-1","5000","1","trp-L.trp-L_m3-1",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","206.0921171211","117.0533790356","isotopomer_13C",1403,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"565","323",NULL,"UDPglucose","-30","-10","-33.76","-20",NULL,2,"-",1,"1500000","C15H23N2O17P2-",NULL,"C9H12N2O9P-","ump","udpg",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts",NULL,"5000","1",NULL,True,False,"{t,t,t,t,t,t,t,t,t,t,t,t,t,t,t}","{t,t,t,t,t,t,t,t,t,t,f,f,f,f,f}","565.0471953444",NULL,"tuning",1404,"{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}"
"87.0082189626","31.9898292442",NULL,"Pyruvate-C3H3O3_O2","-46","-8","-14","-15",NULL,NULL,"-",NULL,NULL,"C3H3O3-",NULL,"O2-",NULL,"pyr",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","pyr.pyr_m0-0","5000","1","pyr.pyr_m0-0",True,False,"{t,t,t}","{f,f,f}","87.0082189626","31.9898292442","isotopomer_13C",1405,"{C,C,C}","{C,C,C}"
"206.0921171211","118.0567338734",NULL,"L-Tryptophan-C8[13C]3H11N2O2_C6[13C]2H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C8[13C]3H11N2O2-","Beuscher 2010","C6[13C]2H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m3-2","5000","1","trp-L.trp-L_m3-2",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","206.0921171211","118.0567338734","isotopomer_13C",1406,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"206.0921171211","119.0600887112",NULL,"L-Tryptophan-C8[13C]3H11N2O2_C5[13C]3H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C8[13C]3H11N2O2-","Beuscher 2010","C5[13C]3H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m3-3","5000","1","trp-L.trp-L_m3-3",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","206.0921171211","119.0600887112","isotopomer_13C",1407,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"207.0954719589","117.0533790356",NULL,"L-Tryptophan-C7[13C]4H11N2O2_C7[13C]H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C7[13C]4H11N2O2-","Beuscher 2010","C7[13C]H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m4-1","5000","1","trp-L.trp-L_m4-1",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","207.0954719589","117.0533790356","isotopomer_13C",1408,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"75.0082189626","47.0133043405",NULL,"Glycolate-C2H3O3_CH3O2","-63","-6.2","-14","-4.5",NULL,NULL,"-",NULL,NULL,"C2H3O3-",NULL,"CH3O2-",NULL,"glyclt",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","glyclt.glyclt_m0-0","5000","1","glyclt.glyclt_m0-0",True,True,"{t,t}","{t,f}","75.0082189626","47.0133043405","isotopomer_13C",1410,"{C,C}","{C,C}"
"207.0954719589","119.0600887112",NULL,"L-Tryptophan-C7[13C]4H11N2O2_C5[13C]3H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C7[13C]4H11N2O2-","Beuscher 2010","C5[13C]3H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m4-3","5000","1","trp-L.trp-L_m4-3",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","207.0954719589","119.0600887112","isotopomer_13C",1411,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"207.0954719589","120.063443549",NULL,"L-Tryptophan-C7[13C]4H11N2O2_C4[13C]4H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C7[13C]4H11N2O2-","Beuscher 2010","C4[13C]4H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m4-4","5000","1","trp-L.trp-L_m4-4",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","207.0954719589","120.063443549","isotopomer_13C",1412,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
"208.0988267967","118.0567338734",NULL,"L-Tryptophan-C6[13C]5H11N2O2_C6[13C]2H6N","-57.9","-10","-20.9","-4.9",NULL,NULL,"-",NULL,NULL,"C6[13C]5H11N2O2-","Beuscher 2010","C6[13C]2H6N-",NULL,"trp-L",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","trp-L.trp-L_m5-2","5000","1","trp-L.trp-L_m5-2",False,True,"{t,t,t,t,t,t,t,t,t,t,t}","{f,f,f,t,t,t,t,t,t,t,t}","208.0988267967","118.0567338734","isotopomer_13C",1413,"{C,C,C,C,C,C,C,C,C,C,C}","{C,C,C,C,C,C,C,C,C,C,C}"
