"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Disease Progression]"	"Unit"	"Term Source REF"	"Term Accession Number"
"SAMP1 mice_3_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_3_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_3_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_3_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_4_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_4_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_4_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_4_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_4_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_4_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_5_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_5_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_5_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_5_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_5_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_5_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_6_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_6_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_6_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_6_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_6_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_6_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_7_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_7_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_7_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_7_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_7_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_7_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_8_4w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_8_4w"	"4"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_8_9w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_8_9w"	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"SAMP1 mice_8_15w"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. SAMP1/YitFc"	""	""	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"SAMP1 mice_8_15w"	"15"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
