sample_name_abbreviation,component_group_name,component_name,calculated_concentration_units,var,ci_level,max,test_stat,median,used_,ci_lb,iq_1,cv,min,n,iq_3,ci_ub,mean,pvalue_corrected,index_
EColi_BL21,,ec_numerator,ratio,112.7189397,0.95,67.30487924,13.52881584,63.41229485,TRUE,47.4966952,52.37528194,18.10572167,42.01013623,6,66.09926281,69.78023867,58.63846693,3.95287E-05,65
EColi_BL21,f6p,f6p.f6p_1.Light,umol*gDW-1,34.75279176,0.95,26.44768217,8.298178277,19.60750603,TRUE,13.78451957,14.6622165,29.51840345,14.28414051,6,25.05136015,26.15768029,19.97109993,0.000415034,66
EColi_BL21,fad,fad.fad_1.Light,umol*gDW-1,0.000177113,0.95,0.181505917,30.58681794,0.168340654,TRUE,0.152215888,0.162542174,8.008318314,0.143076973,6,0.17349989,0.180148505,0.166182197,7.01E-07,68
EColi_BL21,fdp,fdp.fdp_1.Light,umol*gDW-1,11.62552175,0.95,17.04130812,9.152827107,12.44266977,TRUE,9.162303266,10.49075068,26.76211092,8.324675366,6,15.37426114,16.31866082,12.74048204,0.000260932,70
EColi_BL21,fum,fum.fum_1.Light,umol*gDW-1,0.401638395,0.95,3.324505342,8.445711484,2.10443602,TRUE,1.520055485,1.993887961,29.00276368,1.382728224,6,2.204357307,2.850214053,2.185134769,0.000381949,73
EColi_BL21,g1p,g1p.g1p_1.Light,umol*gDW-1,0.013026174,0.95,0.661002877,11.52956041,0.534328567,TRUE,0.417437352,0.446364073,21.24530039,0.405567025,6,0.636833117,0.656986285,0.537211819,8.60712E-05,75
EColi_BL21,g3p,g3p.g3p_1.Light,height_ratio,12.38498752,0.95,13.17502302,6.815313867,10.03098893,TRUE,6.098491742,7.060663591,35.94096751,5.590341321,6,12.8969665,13.48490482,9.791698282,0.001036511,76
EColi_BL21,g6p,g6p.g6p_1.Light,umol*gDW-1,18.17182208,0.95,20.96984192,9.232685972,15.59425934,TRUE,11.59404628,13.86542891,26.53062987,9.961496729,6,19.64611857,20.54120297,16.06762462,0.000250362,78
EColi_BL21,gam6p,gam6p.gam6p_1.Light,umol*gDW-1,0.016281894,0.95,0.407921621,5.206703686,0.292035829,TRUE,0.137322696,0.178726578,47.04492306,0.098431233,6,0.370013517,0.405139777,0.271231237,0.003447763,79
EColi_BL21,gdp,gdp.gdp_1.Light,umol*gDW-1,0.018559038,0.95,0.815081268,11.74935312,0.693142979,TRUE,0.510489305,0.53352585,20.84786897,0.487827086,6,0.736699915,0.79642181,0.653455558,7.85425E-05,81
EColi_BL21,gln-L,gln-L.gln-L_1.Light,umol*gDW-1,1.154415512,0.95,5.591933569,9.465218649,4.437701299,TRUE,3.024244125,3.367544861,25.87885007,2.720900002,6,4.643214807,5.279349717,4.151796921,0.000222365,83
EColi_BL21,glu-L,glu-L.glu-L_1.Light,umol*gDW-1,58.63276129,0.95,65.19305446,18.04632089,58.06697879,TRUE,48.37778129,50.31305509,13.57334693,46.31057791,6,61.85309654,64.44926524,56.41352326,9.59793E-06,85
EColi_BL21,glutacon,glutacon.glutacon_1.Light,umol*gDW-1,88.23650064,0.95,46.14352091,7.276282357,25.24605321,TRUE,18.04566112,21.89024708,33.66402817,21.1489313,6,27.95992992,37.7612586,27.90345986,0.000766749,87
EColi_BL21,glyc3p,glyc3p.glyc3p_1.Light,umol*gDW-1,0.322146727,0.95,3.661045496,13.21866283,3.215503814,TRUE,2.467303543,3.095372729,18.53054105,1.979853109,6,3.241688136,3.658580294,3.062941918,4.42689E-05,90
EColi_BL21,glyclt,glyclt.glyclt_1.Light,umol*gDW-1,7.51393E-05,0.95,0.046630052,9.833602503,0.032091683,TRUE,0.025702485,0.028170262,24.90938333,0.026291928,6,0.041643411,0.043896111,0.034799298,0.000185262,91
